English 9,A; D; E; G; H,
English 10,C,
English 10,A; E; F; G,
AP Language,A; E; F; G,
English 11 EL,E; F,
English 11,A; C; D; E; G,
AP Literature,A; C; D; E; G,
English 12,A; B; D; E; G,
Journalism,G,
Capstone Seminar,D,
,,
World Geography EL,B,
Economics & Pers. Finance,D; E; F; H,
Economics & Pers. Finance EL,D,
World History,B; C; D; E; G,
AP Modern Europe,B,
"VA/US History ",D,
VA/US History EL,C,
AP VA/US History,A; B; F; G,
US/VA Government EL,G,
US/VA Government,A; D; E; F,
AP US Gov.,A; D; E; F,
AP US Gov Seminar,C,
"Sociology ",G,
AP Psychology," A; B; E; G",
AP African American Studies,C,
,,
Pre-Algebra (EL),E,
Algebra I (EL),D; E,
"Algebra I ",F,
Algebra Functions & Data Analysis (AFDA),E,
"Algebra Functions & Data Analysis (AFDA) - EL ",F,
Geometry,B; C; H,
Geometry EL,A,
Geometry Intensified,C,
"Algebra II ",E; G,
Algebra II Intesified,E; F; G,
Precalculus/Trig.,"A; B ",
AP Precalculus,A; B,
"AP Statistics ",A; C,
AP Calculus AB,F,
AP Calculus BC,A; B,
Data Science,F,
Data Science - EL,D,
Multivariable Calculus,G,
"Computer Science ",C,
AP Computer Science,PM,
,,
Earth Space,A; B,
Biology,A; B; C; D; G,
Biology EL,"E ",
AP Biology,F; G,
Chemistry,"A; B, C; D",
AP Chemistry,F; G,
Physics EL,G,
Prin. of Physics,"B ",
Physics,D; E; F; G,
AP Physics (single block),C,
AP Environmental Science,E; F,
,,
,,
French I,D,
French II,A,
French III,F,
French IV,G,
French V,B,
French AP,B,
,,
Spanish I,D; G,
Spanish II,A; B,
Spanish III,C,
Spanish III,F,
Spanish IV,A; G,
"Spanish V ",C,
"Adv. Stud. Spanish  ",F,
Spanish AP Language,B,
" "," ",
Latin I,D,
Latin II,A,
Latin III,F,
Latin IV,G,
Latin V,B,
Latin AP,B,
,,
,,
American Sign Language I,A,
American Sign Language II,B,
American Sign Language III,C,
American Sign Language IV,C,
,,
Health/PE 9,A; B; F,
Health/PE 10,C; D; E,
,,
"Treble Concert Choir  ",B,
" Basso Concert Choir   ",E,
" Camerata",C,
Chamber Singers,D,
"Music Theory ",C,
AP Music Theory,C,
,,
Jazz Band,PM,
Advanced Band (Wind. Ens.),D,
Beginning Band,F,
String Orchestra,E,
" Song Writing ",H/PM,
,,
HS Theatre Arts  I,D,
HS Theatre Arts II,D,
HS Theatre Arts III,D,
HS Theatre Arts  IV,D,
,,
HS Directing,PM,
"HS TechnicalTheatre ",B; C,
,,
"Film ",D,
Film Directing,B,
Film Analysis," F  ",
Art I,A,
Printmaking,B,
Art II,B,
Art III,C,
Art IV,C,
"AP Studio Art ",D,
Photo I,F; G,
Photo II,F; G,
Photo III,F; G,
Photo IV,PM,
,,
Instructional Studies,F; G; H,
Instructional Studies,B; E; G; H,
Instructional Studies,E; F; H,
Instructional Studies,"B; C ",
,,
,,
Instructional Studies,D; F; H,
Instructional Studies,E; G; H,
